name,address,plus_code,category,overall_rating,url,keywords
Attica,,,Dance club,4,"https://www.google.com/maps/place/F.+Club+Singapore/@1.2904904,103.8430199,17z/data=!3m2!4b1!5s0x31da19a03c463807:0xb825fcec486a928c!4m5!3m4!1s0x31da19a023e6fefd:0x7729b4dbc3f28cc7!8m2!3d1.290485!4d103.8452086","['music', 'crowd', 'drinks', 'the', 'party', 'money', 'bouncers', 'girls', 'room', 'bottles']"
Lower Peirce Reservoir Park,,,Park,4.5,"https://www.google.com/maps/place/Lower+Peirce+Reservoir+Park/@1.371636,103.8158131,16z/data=!4m9!1m2!2m1!1sLower+Peirce+Reservoir+Park!3m5!1s0x31da16d246d81d43:0xf3e0382d9c7b764c!8m2!3d1.3720142!4d103.8257891!15sChtMb3dlciBQZWlyY2UgUmVzZXJ2b2lyIFBhcmtaHSIbbG93ZXIgcGVpcmNlIHJlc2Vydm9pciBwYXJrkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOcmVEaDVMV2huUlJBQg","['sunset', 'monkeys', 'boardwalk', 'peaceful', 'wild', 'air', 'monitor', 'jungle', 'casuarina', 'tranquility']"
Pulau Ubin Nature and Kampong Walk,,,,4.6,"https://www.google.com/maps/place/Pulau+Ubin/@1.2803109,103.7784917,12z/data=!4m9!1m2!2m1!1sPulau+Ubin+Nature+and+Kampong+Walk!3m5!1s0x31da3e623f15c661:0xac4f288dcb813841!8m2!3d1.4125659!4d103.9577334!15sCiJQdWxhdSBVYmluIE5hdHVyZSBhbmQgS2FtcG9uZyBXYWxrWiQiInB1bGF1IHViaW4gbmF0dXJlIGFuZCBrYW1wb25nIHdhbGuSAQZpc2xhbmSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmpMV1V6UVZoM0VBRQ","['monkeys', 'wild', 'mountain', 'village', 'bike', 'jetty', 'mangrove', 'mosquito', 'van', 'jungle']"
Changi Point Boardwalk,,,Tourist attraction,4.4,"https://www.google.com/maps/place/Changi+Boardwalk/@1.3911994,103.9798982,17z/data=!4m9!1m2!2m1!1sChangi+Point+Boardwalk!3m5!1s0x31da3c3b2c0ce347:0xfb7eb15e79b52e28!8m2!3d1.3917134!4d103.9758697!15sChZDaGFuZ2kgUG9pbnQgQm9hcmR3YWxrWhgiFmNoYW5naSBwb2ludCBib2FyZHdhbGuSARJ0b3VyaXN0X2F0dHJhY3Rpb24","['sunset', 'evening', 'fishing', 'coast', 'morning', 'peaceful', 'sea', 'relax', 'monitor', 'chalet']"
Kent Ridge Park,,,Park,4.6,"https://www.google.com/maps/place/Kent+Ridge+Park/@1.2838852,103.7902002,18z/data=!4m9!1m2!2m1!1sKent+Ridge+Park!3m5!1s0x31da1bb15e96fbaf:0x97997bfd766988c3!8m2!3d1.2838852!4d103.7912945!15sCg9LZW50IFJpZGdlIFBhcmtaESIPa2VudCByaWRnZSBwYXJrkgEEcGFyaw","['exercise', 'pond', 'canopy', 'mountain', 'science', 'flora', 'sounds', 'slopes', 'ports', 'the']"
St Joseph's Church,,,Catholic church,4.3,"https://www.google.com/maps/place/St+Joseph's+Church+(Victoria+Street)/@1.2898122,103.8162333,13z/data=!4m9!1m2!2m1!1sst+joseph+church!3m5!1s0x31da19bb2ca8a39d:0x5e46ba8861f100e7!8m2!3d1.2982555!4d103.8532172!15sChBzdCBqb3NlcGggY2h1cmNoWhIiEHN0IGpvc2VwaCBjaHVyY2iSAQ9jYXRob2xpY19jaHVyY2g","['renovation', 'beautiful', 'historical', 'cathedral', 'mass', 'architecture', 'pray', 'choir', 'site', 'gereja']"
Sunflower Garden,,,Garden,4.5,"https://www.google.com/maps/place/Sunflower+GARDEN/@1.3507279,103.9849101,17z/data=!4m9!1m2!2m1!1sSunflower+Garden!3m5!1s0x31da3d1ad7060ae1:0x8a3f7de03d363cc6!8m2!3d1.3537481!4d103.9892721!15sChBTdW5mbG93ZXIgR2FyZGVuWhIiEHN1bmZsb3dlciBnYXJkZW6SAQZnYXJkZW4","['planes', 'sunflowers', 'smokers', 'cinema', 'floor', 'roof', 'entertainment', 'transit', 'deck', 'gaming']"
People's Park Complex,,,Shopping mall,4,"https://www.google.com/maps/place/People's+Park+Complex/@1.2842001,103.8402953,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19737659b051:0xd66c32e0f666cc0!8m2!3d1.2841947!4d103.842484","['chinese', 'stalls', 'local', 'travel', 'money', 'foot', 'massage', 'toiletries', 'wire', 'reflexology']"
Cactus Garden,,,Garden,4.4,"https://www.google.com/maps/place/Cactus+Garden/@1.3137208,103.6329851,11z/data=!4m9!1m2!2m1!1scactus+garden!3m5!1s0x31da3c8a0633b549:0x50aceb4ef5449caf!8m2!3d1.363038!4d103.9891074!15sCg1jYWN0dXMgZ2FyZGVuWg8iDWNhY3R1cyBnYXJkZW6SAQZnYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmpiV1ZIVUU5UkVBRQ","['smoking', 'plane', 'area', 'drink', 'plants', 'roof', 'pub', 'night', 'cafe']"
Sisters Islands,,,,4,"https://www.google.com/maps/place/Sisters'+Islands/@1.2139522,103.8338861,18z/data=!3m1!4b1!4m5!3m4!1s0x31da1e885057d2a1:0xab8dbd8a8533a71c!8m2!3d1.2146211!4d103.8350308","['marine', 'monkeys', 'ferry']"
Esplanade Bridge,,,Bridge,4.6,"https://www.google.com/maps/place/Esplanade+Bridge/@1.2894553,103.8533221,18z/data=!4m9!1m2!2m1!1sEsplanade+Bridge!3m5!1s0x31da1908383c6939:0x3067e8cca8f659d6!8m2!3d1.2879493!4d103.8542949!15sChBFc3BsYW5hZGUgQnJpZGdlWhIiEGVzcGxhbmFkZSBicmlkZ2WSAQZicmlkZ2U","['night', 'walk', 'tourists', 'picture', 'photo', 'business', 'buildings', 'river', 'new', 'march']"
